,order_year,customer_id,sales,profit
503,2014,SC-20095,12876.480000000001,5462.5830000000005
1278,2016,CC-12370,11901.184000000001,2083.3397
69,2014,BM-11140,10539.895999999999,-1878.7892000000002
1174,2016,AB-10105,10403.865,4747.8222
1717,2016,SE-20110,9879.220000000001,2673.7824
1255,2016,BS-11365,9199.779999999999,2405.3645
1022,2015,PF-19120,9022.324,-631.9789000000003
316,2014,KL-16645,8694.63,395.5994
2433,2017,SV-20365,8459.936,1570.3889
2081,2017,GT-14635,8167.419999999999,-3825.3394000000003
2103,2017,HW-14935,8166.354,1946.6943
552,2014,TB-21400,8162.509999999999,2567.6441
1381,2016,EH-13765,7937.512,758.8061999999999
1455,2016,JE-15715,7587.971000000001,1210.7386
904,2015,KD-16495,7039.044000000001,2810.0215
2473,2017,TS-21370,6702.293,1218.0071000000003
707,2015,CM-12385,6682.259999999999,3197.4579999999996
1530,2016,LA-16780,6451.222000000001,1560.6049999999996
225,2014,GT-14710,6391.776,738.6553000000001
1511,2016,KD-16270,6317.161999999999,2318.7099000000003
500,2014,SB-20290,6277.723999999999,-1272.3412
2380,2017,RW-19540,6193.446000000001,1660.8355
1451,2016,JD-15895,6181.108,1179.8412000000003
799,2015,FH-14365,6056.089999999999,2139.7363
2327,2017,PK-19075,5979.1359999999995,1617.3954
1688,2016,RH-19510,5973.969999999999,1152.8245000000002
2182,2017,KF-16285,5825.462,1206.5566000000001
1849,2017,AR-10540,5820.58,2607.6814
1359,2016,DR-12940,5791.586,2337.7598
2293,2017,NC-18535,5773.1449999999995,607.0280999999999
1196,2016,AH-10690,5764.772000000001,1144.0680999999997
1936,2017,CJ-12010,5723.398,-524.2196
1892,2017,BM-11650,5683.374,1938.1872999999998
1014,2015,NW-18400,5511.316,1654.2152999999998
1290,2016,CJ-12010,5441.576,1382.961
1820,2017,AD-10180,5433.8899999999985,1866.9279000000001
1076,2015,SB-20185,5414.246,939.1590000000001
1574,2016,ME-17320,5408.648,451.5421
2168,2017,JW-15220,5384.548,1953.2679999999998
425,2014,NM-18445,5370.393999999999,2413.8366999999994
862,2015,JH-15985,5352.786,-1429.3776
2496,2017,YS-21880,5340.263999999999,1524.1125
830,2015,HM-14860,5327.802000000001,2450.9986999999996
2331,2017,PO-18850,5308.107,290.64739999999995
2149,2017,JL-15835,5301.620000000001,837.1593999999999
2392,2017,SC-20380,5259.486,270.28579999999994
428,2014,NP-18700,5168.9265000000005,286.3571999999999
1587,2016,MJ-17740,5152.27,728.7557999999999
2107,2017,JA-15970,5054.209000000001,-1031.0131
406,2014,MW-18220,5030.4439999999995,1204.7582000000002
1417,2016,GK-14620,5021.034,1315.5503
2467,2017,TP-21415,4826.878,-1060.7964
1173,2016,AB-10060,4800.816,1568.0455
1950,2017,CP-12085,4743.258,230.80700000000002
1357,2016,DP-13390,4701.732,1694.6409
685,2015,CB-12025,4662.553,223.44470000000004
1865,2017,BB-11545,4586.26,660.6913000000001
287,2014,JM-15865,4548.81,1228.1787
67,2014,BH-11710,4523.232,235.80930000000004
491,2014,RP-19390,4521.254,262.81460000000004
2118,2017,JD-16150,4508.0,1117.1369
1041,2015,QJ-19255,4409.849999999999,1014.4635
1168,2016,AA-10315,4406.072,-747.1021000000001
368,2014,ME-17320,4374.88,1343.4814
1707,2016,SC-20230,4355.898,435.9654
160,2014,DM-13015,4283.7919999999995,1599.6806
1153,2015,TW-21025,4278.61,610.3104000000001
221,2014,GM-14695,4251.92,112.2737
1602,2016,MS-17365,4205.43,514.7915
1000,2015,NF-18385,4190.206,-1980.3793999999998
317,2014,KM-16375,4187.196,955.8726
